station_id,station_name,actual_mean,prediction_mean,mae,gap,recommendation
24,Татнефть-АЗС-025,73.23924731182795,79.01691275921262,7.399461068857857,5.777665447384663,Разобрать станцию отдельно: ошибка прогноза выше медианы сети
3,Татнефть-АЗС-004,69.8010752688172,75.52630729916856,7.348733468076992,5.725232030351364,Разобрать станцию отдельно: ошибка прогноза выше медианы сети
17,Татнефть-АЗС-018,73.64112903225806,79.0899689076429,7.02192955270875,5.448839875384834,Разобрать станцию отдельно: ошибка прогноза выше медианы сети
2,Татнефть-АЗС-003,66.03897849462365,71.1869485422184,6.764852092804073,5.147970047594754,Разобрать станцию отдельно: ошибка прогноза выше медианы сети
20,Татнефть-АЗС-021,65.3010752688172,70.22737307462766,6.636159281096199,4.926297805810464,Разобрать станцию отдельно: ошибка прогноза выше медианы сети
0,Татнефть-АЗС-001,61.28360215053763,65.629362589939,6.106596281882806,4.345760439401374,Разобрать станцию отдельно: ошибка прогноза выше медианы сети
11,Татнефть-АЗС-012,59.678763440860216,64.19653183085615,5.95173910377058,4.517768389995929,Разобрать станцию отдельно: ошибка прогноза выше медианы сети
21,Татнефть-АЗС-022,59.346774193548384,63.532740693079546,5.7577932766759075,4.185966499531162,Разобрать станцию отдельно: ошибка прогноза выше медианы сети
10,Татнефть-АЗС-011,59.83467741935484,63.78761866302462,5.583166085867466,3.952941243669777,Разобрать станцию отдельно: ошибка прогноза выше медианы сети
16,Татнефть-АЗС-017,60.108870967741936,63.87310689538902,5.506781887289681,3.7642359276470856,Разобрать станцию отдельно: ошибка прогноза выше медианы сети
19,Татнефть-АЗС-020,43.11424731182796,46.4373460065678,4.506499069619829,3.3230986947398407,Разобрать станцию отдельно: ошибка прогноза выше медианы сети
8,Татнефть-АЗС-009,44.48790322580645,47.85105383686836,4.453633042129606,3.3631506110619114,Разобрать станцию отдельно: ошибка прогноза выше медианы сети
7,Татнефть-АЗС-008,40.32392473118279,43.54710519693978,4.219798945560038,3.2231804657569896,"Станция прогнозируется стабильно, поддерживать текущую стратегию"
14,Татнефть-АЗС-015,43.28763440860215,46.0567482717916,4.185926125864522,2.769113863189446,"Станция прогнозируется стабильно, поддерживать текущую стратегию"
18,Татнефть-АЗС-019,40.094086021505376,43.209173921946984,4.182931734295798,3.1150879004416083,"Станция прогнозируется стабильно, поддерживать текущую стратегию"
5,Татнефть-АЗС-006,42.168010752688176,45.02392837758375,4.149785703733597,2.855917624895575,"Станция прогнозируется стабильно, поддерживать текущую стратегию"
4,Татнефть-АЗС-005,26.28494623655914,27.988536083053074,2.841763866667441,1.7035898464939336,"Станция прогнозируется стабильно, поддерживать текущую стратегию"
1,Татнефть-АЗС-002,29.684139784946236,31.55339137572402,2.8192404982707107,1.8692515907777825,"Станция прогнозируется стабильно, поддерживать текущую стратегию"
12,Татнефть-АЗС-013,25.758064516129032,27.54488868768402,2.728476748644337,1.7868241715549864,"Станция прогнозируется стабильно, поддерживать текущую стратегию"
13,Татнефть-АЗС-014,23.888440860215052,24.767223947346324,2.1851051361145823,0.8787830871312714,"Станция прогнозируется стабильно, поддерживать текущую стратегию"
6,Татнефть-АЗС-007,24.607526881720432,25.267991779218097,2.0741331289738163,0.6604648974976648,"Станция прогнозируется стабильно, поддерживать текущую стратегию"
15,Татнефть-АЗС-016,21.631720430107528,22.605912428832696,2.0596046878701695,0.9741919987251677,"Станция прогнозируется стабильно, поддерживать текущую стратегию"
22,Татнефть-АЗС-023,24.384408602150536,25.182233904387324,2.0330913559177555,0.797825302236788,"Станция прогнозируется стабильно, поддерживать текущую стратегию"
9,Татнефть-АЗС-010,22.688172043010752,23.483305276881087,2.0305766862092245,0.7951332338703345,"Станция прогнозируется стабильно, поддерживать текущую стратегию"
23,Татнефть-АЗС-024,22.05510752688172,22.906416912096862,1.9637305217451275,0.8513093852151421,"Станция прогнозируется стабильно, поддерживать текущую стратегию"
