date,year,quarter,month,day,day_of_week,day_name,week_of_year,season,is_weekend,is_holiday,holiday_name
2023-03-24,2023,1,3,24,4,Friday,12,spring,0,0,
2023-03-25,2023,1,3,25,5,Saturday,12,spring,1,0,
2023-03-26,2023,1,3,26,6,Sunday,12,spring,1,0,
2023-03-27,2023,1,3,27,0,Monday,13,spring,0,0,
2023-03-28,2023,1,3,28,1,Tuesday,13,spring,0,0,
2023-03-29,2023,1,3,29,2,Wednesday,13,spring,0,0,
2023-03-30,2023,1,3,30,3,Thursday,13,spring,0,0,
2023-03-31,2023,1,3,31,4,Friday,13,spring,0,0,
2023-04-01,2023,2,4,1,5,Saturday,13,spring,1,0,
2023-04-02,2023,2,4,2,6,Sunday,13,spring,1,0,
2023-04-03,2023,2,4,3,0,Monday,14,spring,0,0,
2023-04-04,2023,2,4,4,1,Tuesday,14,spring,0,0,
2023-04-05,2023,2,4,5,2,Wednesday,14,spring,0,0,
2023-04-06,2023,2,4,6,3,Thursday,14,spring,0,0,
2023-04-07,2023,2,4,7,4,Friday,14,spring,0,0,
2023-04-08,2023,2,4,8,5,Saturday,14,spring,1,0,
2023-04-09,2023,2,4,9,6,Sunday,14,spring,1,0,
2023-04-10,2023,2,4,10,0,Monday,15,spring,0,0,
2023-04-11,2023,2,4,11,1,Tuesday,15,spring,0,0,
2023-04-12,2023,2,4,12,2,Wednesday,15,spring,0,0,
2023-04-13,2023,2,4,13,3,Thursday,15,spring,0,0,
2023-04-14,2023,2,4,14,4,Friday,15,spring,0,0,
2023-04-15,2023,2,4,15,5,Saturday,15,spring,1,0,
2023-04-16,2023,2,4,16,6,Sunday,15,spring,1,0,
2023-04-17,2023,2,4,17,0,Monday,16,spring,0,0,
2023-04-18,2023,2,4,18,1,Tuesday,16,spring,0,0,
2023-04-19,2023,2,4,19,2,Wednesday,16,spring,0,0,
2023-04-20,2023,2,4,20,3,Thursday,16,spring,0,0,
2023-04-21,2023,2,4,21,4,Friday,16,spring,0,0,
2023-04-22,2023,2,4,22,5,Saturday,16,spring,1,0,
2023-04-23,2023,2,4,23,6,Sunday,16,spring,1,0,
2023-04-24,2023,2,4,24,0,Monday,17,spring,0,0,
2023-04-25,2023,2,4,25,1,Tuesday,17,spring,0,0,
2023-04-26,2023,2,4,26,2,Wednesday,17,spring,0,0,
2023-04-27,2023,2,4,27,3,Thursday,17,spring,0,0,
2023-04-28,2023,2,4,28,4,Friday,17,spring,0,0,
2023-04-29,2023,2,4,29,5,Saturday,17,spring,1,0,
2023-04-30,2023,2,4,30,6,Sunday,17,spring,1,0,
2023-05-01,2023,2,5,1,0,Monday,18,spring,0,1,Праздник весны и труда
2023-05-02,2023,2,5,2,1,Tuesday,18,spring,0,0,
2023-05-03,2023,2,5,3,2,Wednesday,18,spring,0,0,
2023-05-04,2023,2,5,4,3,Thursday,18,spring,0,0,
2023-05-05,2023,2,5,5,4,Friday,18,spring,0,0,
2023-05-06,2023,2,5,6,5,Saturday,18,spring,1,0,
2023-05-07,2023,2,5,7,6,Sunday,18,spring,1,0,
2023-05-08,2023,2,5,8,0,Monday,19,spring,0,0,
2023-05-09,2023,2,5,9,1,Tuesday,19,spring,0,1,День Победы
2023-05-10,2023,2,5,10,2,Wednesday,19,spring,0,0,
2023-05-11,2023,2,5,11,3,Thursday,19,spring,0,0,
2023-05-12,2023,2,5,12,4,Friday,19,spring,0,0,
2023-05-13,2023,2,5,13,5,Saturday,19,spring,1,0,
2023-05-14,2023,2,5,14,6,Sunday,19,spring,1,0,
2023-05-15,2023,2,5,15,0,Monday,20,spring,0,0,
2023-05-16,2023,2,5,16,1,Tuesday,20,spring,0,0,
2023-05-17,2023,2,5,17,2,Wednesday,20,spring,0,0,
2023-05-18,2023,2,5,18,3,Thursday,20,spring,0,0,
2023-05-19,2023,2,5,19,4,Friday,20,spring,0,0,
2023-05-20,2023,2,5,20,5,Saturday,20,spring,1,0,
2023-05-21,2023,2,5,21,6,Sunday,20,spring,1,0,
2023-05-22,2023,2,5,22,0,Monday,21,spring,0,0,
2023-05-23,2023,2,5,23,1,Tuesday,21,spring,0,0,
2023-05-24,2023,2,5,24,2,Wednesday,21,spring,0,0,
2023-05-25,2023,2,5,25,3,Thursday,21,spring,0,0,
2023-05-26,2023,2,5,26,4,Friday,21,spring,0,0,
2023-05-27,2023,2,5,27,5,Saturday,21,spring,1,0,
2023-05-28,2023,2,5,28,6,Sunday,21,spring,1,0,
2023-05-29,2023,2,5,29,0,Monday,22,spring,0,0,
2023-05-30,2023,2,5,30,1,Tuesday,22,spring,0,0,
2023-05-31,2023,2,5,31,2,Wednesday,22,spring,0,0,
2023-06-01,2023,2,6,1,3,Thursday,22,summer,0,0,
2023-06-02,2023,2,6,2,4,Friday,22,summer,0,0,
2023-06-03,2023,2,6,3,5,Saturday,22,summer,1,0,
2023-06-04,2023,2,6,4,6,Sunday,22,summer,1,0,
2023-06-05,2023,2,6,5,0,Monday,23,summer,0,0,
2023-06-06,2023,2,6,6,1,Tuesday,23,summer,0,0,
2023-06-07,2023,2,6,7,2,Wednesday,23,summer,0,0,
2023-06-08,2023,2,6,8,3,Thursday,23,summer,0,0,
2023-06-09,2023,2,6,9,4,Friday,23,summer,0,0,
2023-06-10,2023,2,6,10,5,Saturday,23,summer,1,0,
2023-06-11,2023,2,6,11,6,Sunday,23,summer,1,0,
2023-06-12,2023,2,6,12,0,Monday,24,summer,0,1,День России
2023-06-13,2023,2,6,13,1,Tuesday,24,summer,0,0,
2023-06-14,2023,2,6,14,2,Wednesday,24,summer,0,0,
2023-06-15,2023,2,6,15,3,Thursday,24,summer,0,0,
2023-06-16,2023,2,6,16,4,Friday,24,summer,0,0,
2023-06-17,2023,2,6,17,5,Saturday,24,summer,1,0,
2023-06-18,2023,2,6,18,6,Sunday,24,summer,1,0,
2023-06-19,2023,2,6,19,0,Monday,25,summer,0,0,
2023-06-20,2023,2,6,20,1,Tuesday,25,summer,0,0,
2023-06-21,2023,2,6,21,2,Wednesday,25,summer,0,0,
2023-06-22,2023,2,6,22,3,Thursday,25,summer,0,0,
2023-06-23,2023,2,6,23,4,Friday,25,summer,0,0,
2023-06-24,2023,2,6,24,5,Saturday,25,summer,1,0,
2023-06-25,2023,2,6,25,6,Sunday,25,summer,1,0,
2023-06-26,2023,2,6,26,0,Monday,26,summer,0,0,
2023-06-27,2023,2,6,27,1,Tuesday,26,summer,0,0,
2023-06-28,2023,2,6,28,2,Wednesday,26,summer,0,0,
2023-06-29,2023,2,6,29,3,Thursday,26,summer,0,0,
