feature,importance,target,target_label
month,0.0,shop_total_revenue,Выручка магазина
is_fog,0.0,shop_total_revenue,Выручка магазина
holiday_name,0.0,shop_total_revenue,Выручка магазина
shop_area_m2,0.0,shop_total_revenue,Выручка магазина
has_shop,0.0,shop_total_revenue,Выручка магазина
season,0.0,shop_total_revenue,Выручка магазина
road_type,0.0,shop_total_revenue,Выручка магазина
has_cafe,0.0,shop_total_revenue,Выручка магазина
competitors_within_5km,0.0,shop_total_revenue,Выручка магазина
customer_loyalty_score,0.0,shop_total_revenue,Выручка магазина
is_holiday,0.0,shop_total_revenue,Выручка магазина
is_weekend,0.0,shop_total_revenue,Выручка магазина
is_night,0.0,shop_total_revenue,Выручка магазина
week_of_year,0.0,shop_total_revenue,Выручка магазина
price_DT_SUMMER,0.0,shop_total_revenue,Выручка магазина
price_DT_TANEKO,0.0,shop_total_revenue,Выручка магазина
price_DT_EURO,0.0,shop_total_revenue,Выручка магазина
price_AI92,0.0,shop_total_revenue,Выручка магазина
promotion_fuel_active,-5.293442391344587e-06,shop_total_revenue,Выручка магазина
price_AI95,-1.8630105507289052e-05,shop_total_revenue,Выручка магазина
ad_active,-0.0001038780496613508,shop_total_revenue,Выручка магазина
competitor_price_AI92,-0.00010470774493294883,shop_total_revenue,Выручка магазина
wind_speed_ms,-0.00013266309419472191,shop_total_revenue,Выручка магазина
staff_engagement_score,-0.00014981015421814772,shop_total_revenue,Выручка магазина
total_pumps,-0.0002199500227885546,shop_total_revenue,Выручка магазина
temperature,-0.0013045031794737632,shop_total_revenue,Выручка магазина
